Blue,Brown,Green,Grey,Orange,Purple,Red,Yellow,total
32,46,17,43,47,34,13,36,47
31,36,36,29,32,23,18,34,36
37,36,15,31,35,14,3,36,37
38,34,27,35,38,22,19,36,38
10,35,32,35,31,18,22,29,35
30,36,33,34,35,21,20,31,36
24,29,22,29,29,18,13,16,29
25,31,26,32,32,21,14,26,32
25,31,20,29,31,13,9,32,32
43,44,45,47,45,45,16,32,47
25,26,26,23,25,23,14,21,26
29,29,28,32,32,9,25,29,32
38,40,30,40,37,27,23,15,40
28,35,26,31,34,34,29,30,35
31,35,29,38,37,18,14,29,38
34,39,32,36,40,35,33,6,40
22,27,23,23,27,18,12,14,27
19,27,23,29,29,13,13,24,29
51,53,15,53,54,34,48,49,54
24,26,16,23,28,14,14,9,28
40,43,17,41,44,31,41,39,44
28,39,35,25,38,33,36,30,39
4,29,15,27,29,26,15,19,29
26,32,22,33,30,32,15,26,33
17,28,27,29,30,9,22,16,30
18,28,14,28,27,17,12,24,28
22,32,23,23,31,21,16,32,32
26,26,18,26,26,14,14,21,26
29,30,25,30,29,16,19,25,30
24,32,18,32,33,31,21,31,33
29,32,24,35,35,34,25,34,35
22,32,24,33,33,23,9,3,33
28,32,23,30,33,24,10,16,33
16,26,19,24,27,15,14,23,27
38,36,31,31,39,37,12,18,39
47,45,25,44,44,37,20,46,47
29,33,24,32,33,30,5,25,33
48,49,16,50,40,46,45,41,50
24,28,24,26,27,22,22,17,28
4,30,30,30,29,11,16,11,30
19,28,19,29,28,28,6,3,29
48,47,44,43,49,16,47,48,49
23,24,20,24,23,21,12,12,24
25,32,24,30,33,30,16,33,33
26,30,18,30,28,28,24,18,30
29,28,21,30,29,26,26,28,30
41,45,38,45,44,15,15,45,45
18,26,23,26,26,22,9,18,26
16,27,19,27,21,19,12,16,27
19,31,24,32,30,30,16,21,32
15,22,16,22,20,12,15,22,22
38,38,22,37,36,34,21,32,38
28,31,16,31,31,28,28,25,31
21,43,42,44,45,32,13,10,45
42,44,20,45,46,16,42,41,46
14,24,24,23,25,19,13,5,25
16,31,23,30,30,18,10,28,31
19,26,20,24,26,21,11,4,26
34,34,33,36,36,28,16,32,36
20,31,15,27,31,28,10,13,31
23,25,17,24,22,12,23,17,25
32,32,18,30,31,26,18,26,32
46,43,32,44,46,43,43,32,46
19,28,18,25,26,21,8,18,28
9,25,15,25,24,20,8,21,25
23,36,21,34,34,33,14,13,36
34,47,43,43,46,40,37,28,47
20,29,26,26,28,17,29,28,29
35,39,23,38,39,39,37,18,39
27,28,23,28,29,18,9,30,30
48,49,38,45,48,39,37,13,49
25,34,25,30,34,16,16,18,34
