Blue,Brown,Green,Grey,Orange,Purple,Red,Yellow,total
16,28,21,27,29,26,26,28,29
30,33,23,32,30,14,8,12,33
27,28,23,27,27,13,24,23,28
33,31,17,31,33,15,15,11,33
6,31,32,32,32,33,17,17,33
39,38,20,38,41,34,34,27,41
34,46,41,49,51,22,25,48,51
5,26,19,25,26,12,12,2,26
31,31,30,33,30,22,31,12,33
30,27,21,32,33,16,14,8,33
36,36,25,38,38,15,10,37,38
39,40,33,38,38,23,14,37,40
4,34,24,34,28,19,29,18,34
2,28,20,27,26,24,15,22,28
32,38,34,37,37,20,14,14,38
32,32,16,32,33,27,27,16,33
25,27,20,26,29,20,9,21,29
28,31,22,30,28,30,6,29,31
4,25,12,25,25,13,18,16,25
1,24,23,24,21,20,15,17,24
21,31,30,27,33,23,18,21,33
2,31,33,31,33,14,21,15,33
22,24,20,24,24,20,23,18,24
17,32,15,30,32,31,7,8,32
33,33,28,32,32,22,17,13,33
38,40,27,34,39,26,37,30,40
31,33,20,34,33,28,10,33,34
18,29,25,28,29,15,14,16,29
30,36,31,36,33,18,12,33,36
42,46,19,46,47,16,17,46,47
24,27,20,27,26,8,10,8,27
37,45,34,41,46,38,7,41,46
44,49,24,48,53,39,26,24,53
